cigar_name,source_group,retailer,url,domain,status,field,previous_value,current_value,note
Plasencia Reserva Original Nesticos,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-nesticos-cigar?variant=43666939838721,egmcigars.com,changed,price,£5.99,£5.24,In Stock
Plasencia Cosecha 151 La Tradicion,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-cosecha-151-tradicion-toro-cigar-single-p-62378.html,www.cgarsltd.co.uk,error,price,£27.99,,HTTP 403
Plasencia Cosecha 151 La Tradicion,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-cosecha-151-la-tradicion-toro-cigar-single/,www.havanahouse.co.uk,unchanged,price,£31.96,£31.96,In Stock
Plasencia Cosecha 151 La Tradicion,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-la-tradicion-cigar?variant=44626589450497,egmcigars.com,changed,price,£15.99,£15.74,In Stock
Plasencia Cosecha 151 San Diego,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-san-diego-cigar?variant=44626525782273,egmcigars.com,changed,price,£13.99,£13.64,In Stock
Oliva Serie V Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/oliva-serie-melanio-gran-reserva-robusto-cigar-single-p-13643.html?keywords=Melanio+Gran+Reserva+Robusto,www.cgarsltd.co.uk,error,price,£31.99,,HTTP 403
Oliva Serie V Robusto,ukPrices,simplycigars,https://www.simplycigars.co.uk/oliva-serie-melanio-gran-reserva-robusto-cigar-single-p-4325.html,www.simplycigars.co.uk,unchanged,price,£35.75,£35.75,In Stock
Drew Estate Liga Privada T52 Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/drew-estate-liga-privada-t52-robusto-cigar-single-p-26135.html,www.cgarsltd.co.uk,error,price,£32.99,,HTTP 403
Davidoff Nicaragua Toro,ukPrices,cgars,https://www.cgarsltd.co.uk/davidoff-nicaragua-toro-cello-cigar-single-p-13647.html?keywords=Davidoff+Nicaragua+Toro,www.cgarsltd.co.uk,error,price,£44.49,,HTTP 403
Davidoff Nicaragua Toro,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/davidoff-nicaragua-toro-cigar-single/,www.havanahouse.co.uk,unchanged,price,£44.56,£44.56,In Stock
Davidoff Nicaragua Toro,ukPrices,simplycigars,https://www.simplycigars.co.uk/davidoff-nicaragua-box-pressed-toro-single-cigar-p-4255.html,www.simplycigars.co.uk,unchanged,price,£43.85,£43.85,Out of Stock
Davidoff Nicaragua Toro,euPrices,egm,https://egmcigars.com/en-gb/products/davidoff-nicaragua-toro-cigar?variant=45616435986689,egmcigars.com,changed,price,£24.99,£25.19,In Stock
